NOMBRE DEL INVESTIGADOR
"AMADOR MENDOZA,ADOLFO"
"AMADOR MOLINA,ALFREDO"
"AMADOR RODRIGUEZ,KARLA YURITZI"
"AMARO AMARO,MARIA CRISTINA"
"AMARO REYES,ALDO"
"AMATO MARTINEZ,JOSE DANTE"
"AMAYA HERNANDEZ,ADRIANA"
"AMAYA TAPIA,ALEJANDRO"
"AMAYA TAPIA,GERARDO"
"AMAYA VENTURA,MARIA DE LOURDES"
"AMBRIZ DIAZ,VICTOR MANUEL"
"AMBRIZ GONZALEZ,GABRIELA"
"AMBRIZ PARRA,JORGE ENRIQUE"
"AMEZCUA GUTIERREZ,CLAUDIA"
"AMEZCUA ROMERO,JULIO CESAR"
"AMPUDIA RUEDA,MARIA DE LOURDES"
"ANALCO MARTINEZ,AIDA"
"ANAYA AVILA,MARIA DEL PILAR"
"ANAYA GONZALEZ,LORENA"
"ANAYA HERNANDEZ,ARELY"
"ANAYA HERNANDEZ,ARMANDO"
"ANAYA LOPEZ,JOSE LUIS"
"ANAYA MARTINEZ,VERONICA"
"ANAYA MERCHANT,CARLOS ANTONIO"
"ANAYA MUNOZ,ALEJANDRO"
"ANAYA MUNOZ,VICTOR HUGO"
"ANAYA MUOZ,ALEJANDRO"
"ANAYA MUOZ,VICTOR HUGO"
"ANAYA ORTEGA,JOSE GUADALUPE"
"ANAYA ORTEGA,LORENA"
"ANAYA PEREZ,MARCO ANTONIO"
"ANAYA RIOS,JOSE LUIS"
"ANAYA RIOS,MIGUEL ANGEL"
"ANAYA RODRIGUEZ,ROBERTO"
"ANAYA ROSAS,RICARDO ERNESTO"
"ANAYA SAAVEDRA,IRMA GABRIELA"
"ANCONA ALCOCER,MARIA DEL CARMEN"
"ANCONA MARTINEZ,SERGIO IVAN"
"ANDERE MARTINEZ,EDUARDO"
"ANDERNACH,HEINZ JOACHIM"
"ANDRACA GOMEZ,ADRIANA"
"ANDRADE ARECHIGA,MARIA"
"ANDRADE ESPINOZA,BEATRIZ ADRIANA"
"ANDRADE GOMEZ,LEOPOLDO"
"ANDRADE GOMEZ,LUISA"
"ANDRADE LUNA,MAURICIO IVAN"
"ANDRADE MARTINEZ,JONATAN"
"ANDRADE PALOS,PATRICIA"
"ANDRADE SANCHEZ,ADRIANA ISABEL"
"ANDRADE SORCIA,GABRIELA"
"ANDRADE SOTO,MANUEL ANTONIO"
"ANDRADE TORRES,ANGEL"
"ANDRADE TORRES,ANTONIO"
"ANDREU MARTINEZ,MARIA BELEN"
"ANGEL GARCIA,JULIETA"
"ANGEL GONZALEZ,MARIO"
"ANGEL HERNANDEZ,ARTURO"
"ANGEL LARA,MARCO AURELIO"
"ANGELES CERON,FRANCISCO DE JESUS"
"ANGELES ESPINO,ALEJANDRO"
"ANGELES GONZALEZ,LUIS ENRIQUE"
"ANGELES HERNANDEZ,JUAN CARLOS"
"ANGELES ISLAS,JORGE FERNANDO"
"ANGELES VILLA,MANUEL"
"ANGELES,MARIA DEL PILAR"
"ANGLES CANO,EDUARDO"
"ANGLES HERNANDEZ,MARISOL"
"ANGOA PEREZ,MARIA ISABEL"
"ANGOA PEREZ,MARIANA"
"ANGUIANO GARCIA,ALFONSO"
"ANGULO MORENO,ANGEL DE JESUS"
"ANGULO SANCHEZ,JOSE LUIS"
"ANTANO ARIAS,RAMON"
"ANTARAMIAN SALAS,ANAID"
"ANTONIO BAUTISTA,JUAN"
"ANTONIO CRUZ,ROCIO DEL CARMEN"
"ANTUNEZ CERON,EDGAR EDUARDO"
"ANZO HERNANDEZ,ANDRES"
"ANZURES GARCIA,MARIO"
"ANZUREZ MARIN,JUAN"
"APAEZ BARRIOS,PATRICIO"
"APARICIO CASTILLO,FRANCISCO JAVIER"
"APARICIO FABRE,ROSAURA"
"APARICIO FERNANDEZ,MARIA DEL RAYO"
"APARICIO FERNANDEZ,ROSAURA"
"APARICIO MIJARES,FRANCISCO JAVIER"
"APARICIO MORENO,CARLOS ESTUARD"
"APARICIO MORENO,CARLOS ESTUARDO"
"APARICIO SAGUILAN,ALEJANDRO"
"APODACA SANCHEZ,MIGUEL ANGEL"
"APREZA SALGADO,SOCORRO"
"APUN MOLINA,JUAN PABLO"
"AQUI TAPIA,JUAN ANTONIO"
"AQUINO ANDRADE,ALEJANDRA"
"AQUINO BOLANOS,TEODULFO"
"AQUINO BUSTOS,FRANCISCO JAVIER"
"AQUINO MIRANDA,GUILLERMO"
"AQUINO RAMIREZ,MARTIN"
"ARAGON CALVO,MIGUEL ANGEL"
"ARAGON DUARTE,MARIA DEL CARMEN"
"ARAGON GASTELUM,JOSE LUIS"
"ARAGON LOPEZ,CARLOS EDUARDO"
"ARAGON MARTINEZ,ANDRES"
"ARAGON RIVERA,ALVARO"
"ARAGON SANCHEZ,MIGUEL"
"ARAGON VERA,JOSE LUIS"
"ARAGON ZAVALA,ALEJANDRO"
"ARAIZA AGUILAR,JUAN ANTONIO"
"ARAIZA DIAZ,ALEJANDRA"
"ARAIZA DIAZ,VERONICA"
"ARAIZA DURAN,JOSE ANTONIO"
"ARAIZA GOMEZ,VICTORIA"
"ARAIZA HERNANDEZ,ELIZABETH"
"ARAIZA IBARRA,JOSE DE JESUS"
"ARAIZA LOZANO,MIGUEL ANGEL"
"ARAIZA MARTINEZ,JESUS MANUEL"
"ARAIZA TELLEZ,MIGUEL ANGEL"
"ARAIZA VAZQUEZ,MARIA DE JESUS"
"ARAMBURO VIZCARRA,VICENTE"
"ARANA HERNANDEZ,OSCAR"
"ARANA SALINAS,LILIA"
"ARANDA ANDRADE,MARCO ANTONIO"
"ARANDA BARRADAS,MARIA EUGENIA"
"ARANDA ESCOBAR,EDUARDO"
"ARANDA FERNANDEZ,ALFREDO"
"ARANDA GARCIA,ERICK"
"ARANDA GARCIA,FRANCISCO JOSE"
"ARANDA JIMENEZ,YOLANDA GUADALUPE"
"ARANDA LARA,LILIANA"
"ARANDA LOPEZ,JORGE"
"ARANDA SANCHEZ,JORGE ISIDRO"
"ARANDA SANCHEZ,JOSE MARIA"
"ARANGO HERRERA,EDUARDO"
"ARANKOWSKY SANDOVAL,GLORIA"
"ARATO TOVAR,ANA MARIA"
"ARBESU GARCIA,MARIA ISABEL"
"ARBOINE AGUIRRE,LUIS ALBERTO"
"ARCE AMEZQUTIA,PABLO"
"ARCE CASAS,ARMANDO"
"ARCE CERVANTES,OSCAR"
"ARCE GONZALEZ,MARIA DEL ROCIO"
"ARCE ORTEGA,JUAN MANUEL"
"ARCE PEREZ,ROBERTO"
"ARCE PLAZA,ANTONIO"
"ARCE RAMOS,JUAN MANUEL"
"ARCE RINCON,JORGE HUMBERTO"
"ARCE RODRIGUEZ,LOURDES MARGARITA"
"ARCE SALDAA,JOSE LUIS"
"ARCE SALDANA,JOSE LUIS"
"ARCE SALINAS,CESAR ALEJANDRO"
"ARCE VAZQUEZ,MARIA BELEM"
"ARCE VEGA,FERNANDO"
"ARCEO MOHENO,GERARDO"
"ARCEO OLAGUE,JOSE GUADALUPE"
"ARCEO REYES,ROBERTO"
"ARCIGA ALEJANDRE,MARIO"
"ARCIGA ZAVALA,BLANCA ESTELA"
"ARCINIEGA AVILA,HUGO ANTONIO"
"ARCOS GARCIA,JOSE LUIS"
"ARCOS GUTIERREZ,HUGO"
"ARCOS HERNANDEZ,JOSE CARLOS"
"ARCOS VEGA,JOSE LUIS"
"ARCOS VELEZ,VICTOR MANUEL"
"ARCUDIA HERNANDEZ,CARLOS ERNESTO"
"ARDON MARTINEZ,FLORENCIA"
"ARELLANES CANCINO,YAAYE"
"ARELLANO GALINDO,JOSE"
"ARELLANO GAMEZ,LUCRECIA"
"ARELLANO GARCIA,CARLOS"
"ARELLANO GARCIA,JOSE DE JESUS"
"ARELLANO GOMEZ,JUAN"
"ARELLANO GOMEZ,VICTOR MANUEL"
"ARELLANO GONZALEZ,ALEJANDRO"
"ARELLANO GONZALEZ,MIGUEL ANGEL"
"ARELLANO HERNANDEZ,ANTONIO"
"ARELLANO MORALES,MARIO ALEJANDRO"
"ARELLANO OSTOA,ROGELIO"
"ARELLANO RODRIGUEZ,MARIELA"
"ARELLANO VAZQUEZ,MAGALI"
"ARENA ORTIZ,MARIA LETICIA"
"ARENAS GARCIA,RAUL"
"ARENAS GUERRERO,EMILIO"
"ARENAS MARTINEZ,LUIS FERNANDO"
"ARENAS MONREAL,MA. DE LA LUZ"
"ARENAS MONREAL,MARIA DE LA LUZ"
"ARENAS RIOS,EDITH"
"ARENAS SORDO,MARIA DE LA LUZ"
"ARENAS VELAZQUEZ,ERIKA"
"ARES JIMENEZ,MIGUEL ANGEL"
"AREVALO AGUILAR,LUIS MANUEL"
"AREVALO GALARZA,MARIA DE LOURDES"
"AREVALO PEREZ,JUAN CARLOS"
"AREVALO SALAS,ALMA ROSA"
"AREVALOS SANCHEZ,MARTHA MARIA"
"ARGAEZ GARCIA,ALEJANDRO"
"ARGAEZ GARCIA,CARLOS"
"ARGAEZ MARQUEZ,VICTOR EMMANUEL"
"ARGAEZ SOSA,JORGE ARMANDO"
"ARGELLO GARCIA,RAUL"
"ARGOMEDO CASAS,MIGUEL ANGEL"
"ARGUELLO ASTORGA,JESUS RAFAEL"
"ARGUELLO GARCIA,RAUL"
"ARGUERO SANCHEZ,RUBEN"
"ARGUIJO HERNANDEZ,EMMA SOCORRO"
"ARGUMEDO HERNANDEZ,URI"
"ARGUMEDO MACIAS,ADRIAN"
"ARIAS AGUILAR,JOSE ANIBAL"
"ARIAS ATAIDE,DULCE MARIA"
"ARIAS CARRION,OSCAR"
"ARIAS CASTRO,CARLOS"
"ARIAS DE LA MORA,ROBERTO"
"ARIAS DEL RAZO,ALEJANDRO"
"ARIAS GALICIA,LUIS FERNANDO"
"ARIAS GARCIA,GRACIELA"
"ARIAS GARCIA,LUCINA"
"ARIAS GARCIA,MARIO ALBERTO"
"ARIAS GASTELUM,MAYRA"
"ARIAS GODINEZ,JOSE ANTONIO"
"ARIAS GOMEZ,JAIME"
"ARIAS GOMEZ,MARIA EUGENIA"
"ARIAS GONZALEZ,JESUS ERNESTO"
"ARIAS GONZALEZ,MARIA DEL CONSUELO"
"ARIAS GUZMAN,SANDRA"
"ARIAS HERNANDEZ,DAVID"
"ARIAS HERNANDEZ,LUIS ANTONIO"
"ARIAS HERNANDEZ,LUIS-ANTONIO"
"ARIAS HERNANDEZ,LUZ ADRIANA"
"ARIAS MARIN,JESUS ALAN"
"ARIAS MARTINEZ,JOEL"
"ARIAS MENDOZA,MARIA ALEXANDRA"
"ARIAS MONTANO,JUAN MANUEL"
"ARIAS MONTAO,JUAN MANUEL"
"ARIAS MONTES,ANGEL SALVADOR"
"ARIAS MORENO,MARIA LUISA"
"ARIAS MOSCOSO,JOE LUIS"
"ARIAS MOTA,ROSA MARIA"
"ARIAS ORTEGA,MIGUEL ANGEL"
"ARIAS RICO,JOSE"
"ARIAS RODRIGUEZ,LENIN"
"ARIAS ROMERO,LUIS ENRIQUE"
"ARIAS ROZAS,MARIA PATRICIA"
"ARIAS SOTO,MIREYA PATRICIA"
"ARIAS TELLEZ,JOSE LUIS"
"ARIAS TORRES,DANIELA"
"ARISPE VAZQUEZ,JOSE LUIS"
"ARISTA CASTILLO,LETICIA"
"ARIZA CASTILLO,MARINA EMILIA"
"ARIZA CASTOLO,ARMANDO"
"ARIZA FLORES,RAFAEL"
"ARIZA ORTEGA,JOSE ALBERTO"
"ARIZA ORTEGA,TERESITA DE JESUS"
"ARIZA,MARINA EMILIA"
"ARIZAGA SILVA,JUAN ANTONIO"
"ARIZMENDI DOMINGUEZ,MARTHA ELIA"
"ARIZMENDI ECHEGARAY,OCTAVIO"
"ARIZPE RAMOS,NANCY GUADALUPE"
"ARJONA LOPEZ,MARCO ANTONIO"
"ARMANDO,EDUARDO"
"ARMAS LOPEZ,LEONEL"
"ARMAS PEREZ,JULIO CESAR"
"ARMENDARIZ TOLEDANO,FRANCISCO"
"ARMENTA FRAIRE,LETICIA"
"ARMENTA MONTERO,SAMARIA"
"ARMENTA QUINTANA,JOSE ANGEL"
"ARMENTA RAMIREZ,PETRA"
"ARMESTO,MARIA ALEJANDRA"
"ARMIENTA HERNANDEZ,GONZALO"
"ARNANDEZ HERRERA,PAUL"
"ARNAUD VINAS,MARIA DEL ROSARIO"
"AROCHA GARZA,HECTOR FERNANDO"
"AROCHA PEREZ,JORGE LUIS"
"ARRAS VOTA,ANA MARIA DE GUADALUPE"
"ARREAGA GARCIA,GUILLERMO"
"ARREAGA GONZALEZ,HECTOR MANUEL"
"ARREDONDO GARCIA,MARIA CONCEPCION"
"ARREDONDO HIDALGO,MARIA GUADALUPE"
"ARREDONDO LEON,CARLOS"
"ARREDONDO TORRES,VICTOR MANUEL"
"ARREDONDO VELEZ,CESAR"
"ARREDONDO VELEZ,CESAR AUGUSTO"
"ARREGUIN CANO,JUAN ANTONIO"
"ARREGUIN ESPINOSA DE LOS MONTEROS,"
"ARREGUIN RODRIGUEZ,GABRIELA DE JESUS"
"ARREGUIN SANCHEZ,FRANCISCO"
"ARREOLA CORTES,RAUL"
"ARREOLA GOMEZ,JORGE"
"ARREOLA GUERRA,JOSE MANUEL"
"ARREOLA HERNANDEZ,JOSE"
"ARREOLA RISA,CARLOS"
"ARRIAGA ARRIAGA,CESAR AUGUSTO"
"ARRIAGA JORDAN,CARLOS MANUEL"
"ARRIAGA REYNAGA,FRANCISCO JAVIER"
"ARRIAGA RODRIGUEZ,J. JESUS"
"ARRIAGA RODRIGUEZ,JUAN CARLOS"
"ARRIETA MONTIEL,MARIA DE LA PAZ"
"ARRIOLA VEGA,LUIS ALFREDO"
"ARRIZON PEA,VICTOR MANUEL"
"ARRIZON PENA,VICTOR MANUEL"
"ARRONTE GARCIA,MIGUEL ANGEL"
"ARROYO FERNANDEZ,IGNACIO"
"ARROYO FIGUEROA,GABRIELA"
"ARROYO FIGUEROA,GUSTAVO"
"ARROYO GALVAN,MANUEL"
"ARROYO GARCIA,ISRAEL"
"ARROYO HERNANDEZ,MARISOL"
"ARROYO HERNANDEZ,ROSALINDA"
"ARROYO QUIROZ,INES"
"ARROYO QUIROZ,MARIA DEL CARMEN"
"ARROYO RODRIGUEZ,VICTOR"
"ARROYO RUEDA,MARIA CONCEPCION"
"ARROYO SANTOS,ALFONSO"
"ARROYO URENA,MARCO ANTONIO"
"ARTEAGA ARCOS,JUAN CARLOS"
"ARTEAGA MARTINEZ,ALEJANDRO"
"ARTEAGA PEREZ,MARCO ANTONIO"
"ARTEAGA VAZQUEZ,MARIO ALBERTO"
"ARTHUR,SARAH JANE"
"ARTIGAS HERNANDEZ,JUAN BENITO"
"ARVIZU RODRIGUEZ,LILIANA ELIZABETH"
"ARVIZU SANCHEZ,EDUARDO"
"ARZALUZ SOLANO,MARIA DEL SOCORRO"
"ARZATE CARDENAS,MARIO ALBERTO"
"ARZATE FLORES,JORGE ARTURO"
"ARZATE QUINTANA,CARLOS"
"ARZATE SALGADO,JORGE GUADALUPE"
"ARZOLA GONZALEZ,JUAN FRANCISCO"
"ASBUN BOJALIL,JUAN"
"ASCANIO GASCA,GABRIEL"
"ASCENCIO HERNANDEZ,ROBERTO"
"ASCENCIO LOPEZ,NOEMI"
"ASPINWALL,MARK"
"ASTORGA SAENZ,FRANCISCO ANTONIO"
"ASTUDILLO DE LA VEGA,HORACIO"
"ATAKISHIYEV,NATIG"
"ATHIE LAMBARRI,MARIA DEL ROSARIO"
"ATIENZO DE LA CRUZ,ERIKA ELIZABETH"
"ATILANO MORALES,PEDRO"
"AUCES FLORES,MARIA DEL ROSARIO"
"AVALOS BLANCO,MARTIN"
"AVALOS BRACHO,MARCOS"
"AVALOS CUEVA,DAVID"
"AVALOS GARCIA,JAVIER"
"AVALOS GARCIA,MARIA ISABEL"
"AVALOS HERNANDEZ,OMAR"
"AVALOS LATORRE,MARIA LUISA"
"AVALOS RAMIREZ,ANTONIO"
"AVALOS RAMIREZ,RAMIRO"
"AVALOS RODRIGUEZ,ALEJANDRO"
"AVALOS RODRIGUEZ,MARIA LILIANA"
"AVALOS ROGEL,ALEJANDRA"
"AVELAR LOZANO,ERNESTO"
"AVELAR RIVAS,JESUS ABRAHAM"
"AVELINO FLORES,MARIA DEL CARMEN"
"AVELINO FLORES,MARIA DEL CARMEN GUADALUPE"
"AVELLA ALAMINOS,DIANA"
"AVENDANO GARCIA,MARIA ASUNCION"
"AVENDANO GOMEZ,AIDE"
"AVENDANO GONZALEZ,MARCELA"
"AVENDANO VAZQUEZ,SELMA"
"AVENDANO YANEZ,MARIA DE LA LUZ"
"AVIA CERVANTES,JUAN GABRIEL"
"AVIA ZUBIETA,JUAN ANTONIO"
"AVILA ACEVEDO,JUAN GABRIEL"
"AVILA ADAME,CRUZ"
"AVILA ALVAREZ,FRANCISCO"
"AVILA ARCE,ADANELLY"
"AVILA ARCOS,MARIA DEL CARMEN"
"AVILA AVILA,VICTOR MANUEL"
"AVILA BARRIENTOS,EDER"
"AVILA BARRIOS,DELIA"
"AVILA CALDERON,ERIC DANIEL"
"AVILA CARRASCO,JOSE ROBERTO"
"AVILA CARREON,FERNANDO"
"AVILA CARRERA,RAFAEL"
"AVILA CASADO,MARIA DEL CARMEN"
"AVILA CHAVEZ,MARCO ANTONIO"
"AVILA CORONEL,FRANCISCO"
"AVILA DE DIOS,EMMANUEL"
"AVILA DE LA ROSA,GABRIELA"
"AVILA DIAZ,IRENE"
"AVILA DORANTES,JOSE ANTONIO"
"AVILA ESCALANTE,MARIA LUISA"
"AVILA FERNANDEZ,ANGELA"
"AVILA FLORES,GUILLERMO"
"AVILA FLORES,OMAR"
"AVILA FLORES,RAFAEL"
"AVILA FOUCAT,REMY FERNAND"
"AVILA FUNES,JOSE ALBERTO"
"AVILA GARCIA,ALEJANDRO"
"AVILA GARCIA,GUILLERMINA"
"AVILA GARCIA,MARIA SUSANA"
"AVILA GARCIA,PATRICIA"
"AVILA GARCIA,VIRGINIA"
"AVILA GONZALEZ,ERNESTO"
"AVILA GONZALEZ,IVAN"
"AVILA HERNANDEZ,ALEJANDRO MARTIN"
"AVILA HERNANDEZ,ANGELA KARINA"
"AVILA HERNANDEZ,DANIEL"
"AVILA JIMENEZ,LAURA"
"AVILA JUAREZ,LUCIANO"
"AVILA LOPEZ,LUIS ALFREDO"
"AVILA LOPEZ,MANUEL ALEJANDRO"
"AVILA LOPEZ,MARIA DEL CARMEN"
"AVILA LOPEZ,PEDRO ANTONIO"
"AVILA LOPEZ,ULISES"
"AVILA MELENDEZ,LUIS ARTURO"
"AVILA NINO,JOSE ANTONIO"
"AVILA NOVOA,MARIA GUADALUPE"
"AVILA ORTA,CARLOS ALBERTO"
"AVILA ORTEGA,ALEJANDRO"
"AVILA ORTIZ,CLAUDIA GABRIELA"
"AVILA ORTIZ,RAUL"
"AVILA PALET,JOSE ENRIQUE"
"AVILA PERCHES,MIGUEL ANGEL"
"AVILA PEREZ,PEDRO"
"AVILA RAMIREZ,DAVID CARLOS"
"AVILA REYES,JOSE ANTONIO"
"AVILA RODRIGUEZ,DULCE GUADALUPE"
"AVILA RODRIGUEZ,MARIO"
"AVILA RODRIGUEZ,MIGUEL ANGEL"
"AVILA RODRIGUEZ,RUBEN"
"AVILA RODRIGUEZ,VERONICA"
"AVILA ROMERO,LEON ENRIQUE"
"AVILA RUEDA,ALFREDO"
"AVILA SALCEDO,LUIS FERNANDO"
"AVILA SANCHEZ,FRANCISCO RAUL"
"AVILA SANCHEZ,HECTOR"
"AVILA SANCHEZ,MA. DE JESUS"
"AVILA SANCHEZ,MARIA DE JESUS"
"AVILA SANCHEZ,ROCIO JAZMIN"
"AVILA SANTOS,JOSE MANUEL"
"AVILA SILVA,JUAN MANUEL"
"AVILA SOLER,ENRIQUE"
"AVILA STORER,ALICIA GABRIELA"
"AVILA VALDES,JOSE LUIS"
"AVILA VAZQUEZ,VERONICA"
"AVILA VILCHIS,JUAN CARLOS"
"AVILES CRUZ,CARLOS"
"AVILES JIMENEZ,FRANCISCO"
"AVILES LOPEZ,JAVIER"
"AVILES MARTINEZ,ADRIANA"
"AVILES NOVA,FRANCISCA"
"AVILES SALAS,ALEJANDRO"
"AVINA CERVANTES,JUAN GABRIEL"
"AVINA JIMENEZ,HECTOR MIGUEL"
"AVINA ZUBIETA,JUAN ANTONIO"
"AVITIA DOMINGUEZ,CLAUDIA ISELA"
"AYALA ACEVES,MARCELA"
"AYALA AGUILAR,GUADALUPE"
"AYALA AYALA,MARIA TERESA"
"AYALA BARRON,JUAN CARLOS"
"AYALA BAUTISTA,JOSE RAMON"
"AYALA BLANCO,FERNANDO"
"AYALA BLANCO,JORGE"
"AYALA CARRILLO,MARIA DEL ROSARIO"
"AYALA GARAY,OSCAR JAVIER"
"AYALA GARCIA,PATRICIA"
"AYALA GARCIA,VICTOR MANUEL"
"AYALA LOPEZ,JOSE FERNANDO"
"AYALA MADRIGAL,MARIA DE LA LUZ"
"AYALA MARTINEZ,MARICELA"
"AYALA MERCADO,JOSE ALEJANDRO"
"AYALA MILLAN,CHRISTIAN YARID"
"AYALA MONTER,MARCO ANTONIO"
"AYALA MORENO,ALMA ANGELINA"
"AYALA MORENO,MARIA DEL ROSARIO"
"AYALA MORENO,MARIA ROSARIO"
"AYALA NINO,FERNANDO"
"AYALA REYES,SUSANA"
"AYALA RODRIGUEZ,LEONARDO"
"AYALA SANCHEZ,ALFONSO"
"AYALA SANCHEZ,FELISA"
"AYALA VALDOVINOS,MIGUEL ANGEL"
"AYALA ZERMENO,MIGUEL ANGEL"
"AYALA ZERMEO,MIGUEL ANGEL"
"AYLLON ARAGON,GRISEL"
"AYLLON GONZALEZ,MARIA ESTELA"
"AYLLON TRUJILLO,MARIA TERESA"
"AYORA TALAVERA,GUADALUPE"
"AYVAR CAMPOS,FRANCISCO JAVIER"
"AZA GONZALEZ,CESAR"
"AZAMAR BARRIOS,JOSE ANTONIO"
"AZAOLA CALDERON,MARTA CRISTINA"
"AZPIROZ MANERO,MARIA LUISA"
"AZUARA GARCIA,GUADALUPE"
"AZUELA BERNAL,MARIA CRISTINA"
"AZUELA DE LA CUEVA,ALICIA"
"AZUELA FLORES,JOSE IGNACIO"
"BACA CARRASCO,DAVID"
"BACA FELDMAN,CARLOS FRANCISCO"
"BACA GARCIA,JOSE ANTONIO"
"BACA,BEATRIZ EUGENIA"
"BADA CARBAJAL,LILA MARGARITA"
"BADILLO ALMARAZ,VERONICA ELIZABETH"
"BADILLO AVILA,MIGUEL ANGEL"
"BADILLO MARQUEZ,GUADALUPE"
"BADILLO OLVERA,ANUAR MANUEL"
"BADILLO RUIZ,CARLOS ALBERTO"
"BADILLO SANCHEZ,ALEJANDRA"
"BAENA HURTADO,MARTHA LUCIA"
"BAEZ AYALA,SUSANA LETICIA"
"BAEZ CASTILLO,LEONARDO"
"BAEZ CASTRO,ALBERTO"
"BAEZ CORONA,JOSE FRANCISCO"
"BAEZ CUBERO,MARIA DE LOURDES"
"BAEZ DUARTE,BLANCA GUADALUPE"
"BAEZ GARCIA,JOSE EDUARDO"
"BAEZ GAXIOLA,MARTHA RAQUEL"
"BAEZ GONZALEZ,JUAN GABRIEL"
"BAEZ HERNANDEZ,FRANCISCO JAVIER"
"BAEZ JUAREZ,MARIA GABRIELA"
"BAEZ MACIAS,EDUARDO"
"BAEZ MARTINEZ,ROSALINA"
"BAEZ MEDINA,HECTOR"
"BAEZ MORALES,ANTONIO"
"BAEZ OLVERA,MARIA DE LOS ANGELES"
"BAEZ PARRA,KARLA MARINA"
"BAEZ PEREZ,ANA LAURA"
"BAEZ PEREZ,AURELIO"
"BAEZ RODRIGUEZ,ADRIANA"
"BAEZ ROJAS,JOSE JAVIER"
"BAEZ Y MACIAS,EDUARDO"
"BAEZ,CESAR ALEJANDRO"
"BAEZA FLORES,GUADALUPE DEL CARMEN"
"BAEZA RAMIREZ,MARIA ISABEL"
"BAEZA RODRIGUEZ,JUAN JOSE"
"BAHENA TRUJILLO,RICARDO"
"BAISON OLMO,ANTONIO LUIS"
"BAIZABAL CARVALLO,JOSE FIDEL"
"BAK GELER CORONA,SARAH"
"BAK-GELER CORONA,SARAH"
"BALAGURUSAMY,NAGAMANI"
"BALANDRAN JUAREZ,JUAN CARLOS"
"BALANZAR MARTINEZ,ALEJANDRO"
"BALDERAS GARCIA,LUZ IDALIA"
"BALDERAS GIL,JOSE LUIS"
"BALDERAS HERNANDEZ,PATRICIA"
"BALDERAS LOPEZ,JOSE LUIS"
"BALDERAS NAVARRO,RAUL EDUARDO"
"BALDERAS PLATA,MIGUEL ANGEL"
"BALLESTEROS LEINER,ARTURO"
"BALLESTEROS RODEA,GILBERTO"
"BALLINAS HERNANDEZ,ANA LUISA"
"BALTAR RODRIGUEZ,ENRIQUE"
"BALTAZAR GAYTAN,EDUARDO"
"BALTAZAR RAMOS,ANA MARIA"
"BALTAZAR RODRIGUEZ,LUZ MARGARITA"
"BALTAZAR VERA,JUAN CARLOS"
"BALTAZAR ZAMORA,MIGUEL ANGEL"
"BANDA ALEMAN,JORGE ALBERTO"
"BANDA CASTRO,ALEJANDRO"
"BANDA GUZMAN,VICTOR MIGUEL"
"BANDA HERNANDEZ,MARIA MAGDALENA"
"BANDA MUNOZ,FERNANDO"
"BANDA ORTIZ,HUMBERTO"
"BANERJEE DUBE,ISHITA"
"BANOS FRANCIA,JOSE ALFONSO"
"BANOS GONZALEZ,VICTOR HUGO"
"BANOS LARA,MA DEL ROCIO"
"BANOS LARA,MARIA DEL ROCIO"
"BANOS LOPEZ,ESPERANZA"
"BANUELOS HERNANDEZ,BERNARDO"
"BANUELOS HERNANDEZ,KARINA PATRICIA"
"BAOS FRANCIA,JOSE ALFONSO"
"BARABAS REYNA,ALICIA MABEL"
"BARAJAS FERNANDEZ,JUAN"
"BARAJAS LOPEZ,MARIA GUADALUPE"
"BARAJAS MARTINEZ,ANTONIO"
"BARAJAS OLMOS,FRANCISCO MARTIN"
"BARAJAS RAMIREZ,JUAN GONZALO"
"BARATTA,MARIA VICTORIA"
"BARAY CALDERON,ALEJANDRO"
"BARAY GUERRERO,MARIA DEL ROSARIO"
"BARBA ALVAREZ,ANTONIO"
"BARBA ALVAREZ,ROGELIO"
"BARBA GALLARDO,LUIS FERNANDO"
"BARBA GONZALEZ,ROSARIO"
"BARBA LOPEZ,MARIA DEL REFUGIO"
"BARBA MARTIN,LETICIA"
"BARBA PINGARRON,ARTURO"
"BARBA RODRIGUEZ,MARLENE"
"BARBA SOLANO,CARLOS EDUARDO"
"BARBOSA BRIONES,ELDA"
"BARBOSA CORTES,MARIA DE LOURDES"
"BARBOSA SALDAA,JUAN GABRIEL"
"BARBOSA SALDANA,JUAN GABRIEL"
"BARBOSA SANCHEZ,MARIA ARACELI"
"BARBOZA CERDA,MARIA DEL CARMEN"
"BARCELO QUINTAL,RAQUEL OFELIA"
"BARCELO VALENZUELA,MARIO"
"BARCENA GAMA,JOSE RICARDO"
"BARCENA JUAREZ,SERGIO ARTURO"
"BARCENA VEGA,ARMANDO"
"BARCENAS CURTIS,CESAR"
"BARCENAS MORALES,GABRIELA"
"BARCENAS POZOS,MARIA EUGENIA"
"BARCENAS SANTANA,DANIEL"
"BARON LEON,MARIA DE LOURDES"
"BARON MENDOZA,ISABEL CRISTINA"
"BARONA CASTANEDA,CLAUDIA"
"BARONA GOMEZ,FRANCISCO"
"BARONA RIOS,CESAR"
"BARRAGAN GALVEZ,JUAN CARLOS"
"BARRAGAN GARCIA,JAIRA LIZETH"
"BARRAGAN HUERTA,BLANCA ESTELA"
"BARRAGAN IGLESIAS,JOSUE"
"BARRAGAN PEREZ,OMAR"
"BARRAGAN VILLANUEVA,OSCAR IGNACIO"
"BARRALES DOMINGUEZ,JOSE SERGIO"
