NOMBRE LIMPIO
"SOMUANO VENTURA,MARIA FERNANDA"
"OLIVARES ILLANA,VANESA"
"BATYRSHIN,ILDAR"
"UNIKEL SANTONCINI,CLAUDIA"
"GUZMAN GRENFELL,ALBERTO MARTIN"
"PONCE CRUZ,PEDRO"
"PACHECO PACHECO,MARQUIDIA JOSSELINE"
"STEINMANN,VICTOR WERNER"
"OLMEDO MONFIL,VIANEY GRACIELA"
"MORAN BARROSO,VERONICA FABIOLA"
"ESPARZA PONCE,HILDA ESPERANZA"
"GONZALEZ DE COSSIO ROSENZWEIG,MARIA"
"CUEVAS SANCHEZ,JESUS AXAYACATL"
"CASTAÑEDA ZALDIVAR,FEDERICO"
"SOLIS WOLFOWITZ,VIVIANE"
"CAÑIZARES VILLANUEVA,ROSA OLIVIA"
"MORALES GUERRERO,JOSEFINA CONSUELO"
"AVILA MURO,EVA EDILIA"
"CIFUENTES BLANCO,JOAQUIN"
"VALENCIA COLLAZOS,MARTIN ANTONIO MARCELO EDMUNDO"
"SANTOYO CORTES,VINICIO HORACIO"
"TLAHUEXT ROMERO,JOSE RAYMUNDO HUGO"
"SEGOVIA FORCELLA,LORENZO PATRICK"
"KAMEYAMA KAWABE,LUIS YOSHIO"
"ALPUCHE SOLIS,ANGEL GABRIEL"
"VILLARREAL TREVIÑO,CUAUHTEMOC"
"SERVIN VILLEGAS,ROSALIA"
"VILLALOBOS ARAMBULA,ALMA ROSA"
"MASKE RUBACH,HELMUT"
"FOLCH MALLOL,JORGE LUIS"
"VAZQUEZ SANTANA,SONIA"
"SILVA PEREYRA,JUAN FELIPE"
"ESPARZA ROMERO,JULIAN"
"PANAYOTAROS,PANAYIOTIS"
"ANZALDO MONTOYA,MONICA"
"TAHA TIJERINA,JOSE JAIME"
"RODRIGUEZ MC KEON,LUCIA ELENA"
"GONZALEZ BRAMBILA,MARGARITA MERCEDES"
"ARCE IBARRA,ANA MINERVA"
"VELASQUEZ VALLE,MIGUEL AGUSTIN"
"LEAL QUEZADA,LUZ OLIVIA"
"BALTAZAR BERNAL,OBDULIA"
"PINZON LOPEZ,LUIS LEONARDO"
"LAGUNEZ RIVERA,LUICITA"
"BERBER MENDOZA,MARIA SELENE"
"PLASCENCIA ESCALANTE,FRANCISCA OFELIA"
"ZAVALA YOE,RICARDO"
"AVILA SERRANO,NARCISO YSAC"
"CARDENAS PEREZ,CESAR RAUL"
"OCHOA MEZA,ANDRES"
"OVANDO CHACON,GUILLERMO EFREN"
"DE LA O BURROLA,VERONICA GUADALUPE"
"SEGURA LEON,OBDULIA LOURDES"
"HEREDIA,JOSE BASILIO"
"SALVADOR CRUZ,JUDITH"
"CASTREJON GOMEZ,VICTOR ROGELIO"
"GOMEZ SANDOVAL,ZEFERINO"
"GOYAS MEJIA,RAMON"
"VILAR COMPTE,MIREYA"
"ORTEGA ALTAMIRANO,DORIS VERONICA"
"SOTELO RUIZ,ERASTO DOMINGO"
"SANCHEZ PEÑA,LANDY LIZBETH"
"MARTINEZ LOZANO,CONSUELO PATRICIA"
"CARVAJAL MILLAN,ELIZABETH"
"CRUZ BLANCO,MORITZ ALBERTO"
"BERNARDINO NICANOR,AUREA"
"CAPELLA KORT,ANTONIO"
"ESPONDA DARLINGTON,CARLOS FERNANDO"
"LIRA MANDUJANO,JENNIFER"
"CRUZ MEJIA,OLIVERIO"
"ORTEGA AVILA,NAGHELLI"
"EQUIHUA ANGUIANO,LUISA NICTE"
"AMBROSIO LAZARO,ROBERO CARLOS"
"ENRIQUEZ ROCHA,PAULA LIDIA"
"RAMIREZ URQUIDY,MARTIN ARTURO"
"SALCIDO MACIAS,MONICA MIROSLAVA"
"MANCILLA MARGALLI,NORMA ALEJANDRA"
"QUINTERO SALAZAR,BACILIZA"
"BANUELOS ROMERO,FORTINO"
"BADILLO ALMARAZ,HIRAM"
"SAENZ ARROYO DE LOS COBOS,MARIA ANDREA"
"VEGA MANRIQUEZ,DELIA XOCHIL"
"GIFFARD MENA,IVONE"
"SANDOVAL BALLESTEROS,IRMA ERENDIRA"
"GUZMAN CHAVEZ,MAURICIO GENET"
"FLORES MAGDALENO,HECTOR"
"FLORES TOCHIHUITL,JULIA"
"DE LA FUENTE ACOSTA,EDUARDO"
"CHAMORRO FLORESCANO,IVETTE ALICIA"
"ESCARTIN PEREZ,RODRIGO ERICK"
"CURCO COBOS,FELIPE"
"QUIÑONES AGUILAR,EVANGELINA ESMERALDA"
"RIVERA HUERTA,RENE"
"PERALTA ORTIZ,J JESUS GERMAN"
"CASTILLO URETA,HIPOLITO"
"GRACIANO VERDUGO,ABRIL ZORAIDA"
"SANCHEZ HERNANDEZ,CARLA VANESSA"
"HIDALGO MIHART,MIRCEA GABRIEL"
"VAZQUEZ CUCHILLO,ODILON"
"MENA BARBOZA,ERI ATAHUALPA"
"TREJO NIETO,ALEJANDRA BERENICE"
"VAZQUEZ BECERRA,GUADALUPE ESTEBAN"
"BATUN ALPUCHE,ADOLFO IVAN"
"RUBIO GODOY,MIGUEL"
"MALDONADO MALDONADO,GUADALUPE ALMA"
"OROPEZA RAMOS,LAURA ADRIANA"
"GARCIA DE LA SIENRA PEREZ,RODRIGO ADOLFO"
"GUERRERO GARCIA ROJAS,HILDA ROSALBA"
"AVILA FOUCAT,VERONIQUE SOPHIE"
"COVARRUBIAS FEREGRINO,ARLETTE"
"DE SANTIAGO GOMEZ,ARNULFO URIEL"
"JARAMILLO TORRES,ANGEL"
"MORZARIA LUNA,HEM NALINI"
"MUNDO HERNANDEZ,JULIA JUDITH"
"LARTIGUE MENDOZA,JACQUES"
"MENA VIOLANTE,HORTENCIA GABRIELA"
"SEPULVEDA GUZMAN,SELENE"
"MENESES FABIAN,CRUZ"
"GUZMAN SORIA,EUGENIO"
"ORTIZ OLIVEROS,HUEMANTZIN BALAN"
"AGUILAR BALDERAS,LIDIA"
"VILLAFAÑA RAUDA,SANTIAGO"
"MEZURA MONTES,EFREN"
"CRUZ HUERTA,NICACIO"
"ANGELES BELTRAN,DEYANIRA"
"GONZALEZ HORTA,AZUCENA DEL CARMEN"
"FERNANDEZ ESCAMILLA,VICTOR VLADIMIR AMILCAR"
"CARRILLO TRIPP,JIMENA"
"ACEVEDO WHITEHOUSE,KARINA ALETHYA"
"GUZMAN LUGO,JOSE GIOVANNI"
"CHAVEZ CHENA,YVONNE"
"CERDA MENDEZ,EDGAR ARMANDO"
"PERRONI VENTURA,YARENI"
"RICALDE CASTELLANOS,LUIS JOSUE"
"HUERTA CHUA,JESUS"
"MONFIL LEYVA,KARIM"
"LEON SICAIROS,NIDIA MARIBEL"
"BUSTOS BUSTOS,ERIKA"
"XICOHTENCATL CORTES,JUAN"
"RODRIGUEZ GONZALEZ,HERVEY"
"LOPEZ ROSAS,HUGO"
"MUNGUIA STEYER,ROBERTO EDMUNDO"
"MEDELLIN CASTILLO,HUGO IVAN"
"COLCHERO ARAGONES,MONICA ARANTXA"
"ESCOBAR SOTOMAYOR,JUAN VALENTIN"
"TREJO VALDEZ,MARTIN DANIEL"
"ETCHEVERRY DOGER,GIBRAN"
"MIRANDA PEREA,FAVIO EZEQUIEL"
"MUNGARAY MOCTEZUMA,ANA BARBARA"
"BARCENAS LUNA,ROLANDO TENOCH"
"TAWIL KURI,MARTA"
"BARBERIS BLOSTEIN,PABLO"
"VALDEZ BUBNOV,IVAN"
"MARQUEZ MUÑOZ,JORGE FEDERICO"
"SANTIN PEÑA,OLIVER"
"CASTRO PASTRANA,LUCILA ISABEL"
"MONTES DE OCA O REILLY,GUADALUPE ALEJANDRA"
"ALBARRAN PORTILLO,BENITO"
"FLORES HOLGUIN,NORMA ROSARIO"
"ELIZALDE GALINDO,JOSE TRINIDAD"
"SOTUYO VAZQUEZ,JENY SOLANGE"
"BUENTELLO VOLANTE,BEATRIZ"
"VELAZQUEZ FERNANDEZ,JESUS BERNARDINO"
"DIAZ BENITEZ,CINTHYA ESTEFHANY"
"ALEJO SANTIAGO,GELACIO"
"NIÑO MORENO,PERLA DEL CARMEN"
"MENDIETA RAMIREZ,CONCEPCION ANGELICA"
"MANZANO LEON,NATALIA"
"REBOLLO PERDOMO,SALOMON"
"PEREZ CASTRO,JUDITH"
"CELAYA NANDEZ,YOVANA"
"CORDOVA BOJORQUEZ,GUSTAVO"
"SILVA MONTES,CESAR"
"AGUIRRE VON WOBESER,ENEAS"
"URIAS SILVAS,JUDITH ESMERALDA"
"BERBER SOLANO,TANIA PALOMA"
"ROSAS TARACO,ADRIAN GEOVANNI"
"HERRERIAS DIEGO,YVONNE"
"RIOS CHELEN,ALEJANDRO ARIEL"
"RAZO SOTO,ISRAEL"
"RANGEL COLMENERO,BLANCA ROCIO"
"HUERTA REYES,MAIRA ESTRELLA"
"VENEGAS BARRERA,CRYSTIAN SADIEL"
"FALFAN VALENCIA,RAMCES"
"LOPEZ ROA,ROCIO IVETTE"
"RUIZ CONTRERAS,ALEJANDRA EVELYN"
"PASTEN HIDALGO,KARINA"
"PASCUAL JIMENEZ,CRISTINA"
"DOMINGUEZ PRIETO,LUZ OLIVIA"
"INFANTE XIBILLE,CESAR"
"JURADO ROJAS,YOLANDA"
"GALLARDO ESPINOZA,PEDRO PABLO"
"CUPUL UICAB,LEA AURORA"
"MORA RAVELO,SANDRA GRISELL"
"LEON VARGAS,HERMES"
"LIÑAN RICO,ANDROMEDA"
"PEREZ BUENDIA,JESUS ROGELIO"
"ANTONIO NEMIGA,XANAT"
"NAVA BENCHEIKH,AIDA HORTENSIA"
"CRUZ MANJARREZ GARCIA,GUADALUPE ADRIANA"
"CARRANZA VERA,CLAUDIA VERONICA"
"PHILLIPS RODRIGUEZ,WENDY JAQUELINE"
"SANCHEZ MENCHERO,MAURICIO"
"SELEM MOJICA,NELLY"
"MEDRANO BUENROSTRO,ANAHELY"
"DIAZ DE LA GARZA,ROCIO ISABEL"
"MANRIQUE SAIDE,PABLO CAMILO"
"PALOS PIZARRO,ISIDRO"
"CUAUHTEMOC LOPEZ,IGNACIO"
"CERVANTES DIAZ DE GUZMAN,RUY FERNANDO"
"COSS Y LEON COSS Y LEON,DOMINGO"
"ONOFRE BUSTAMANTE,EDGAR"
"ZOMOSA SIGNORET,VIVIANA CHANTAL"
"BERMUDEZ OCAÑA,DEYSI YADIRA"
"CHIQUETE ANAYA,ERWIN"
"DEL RIO TORRES,ROSA ELVA NORMA"
"ALVARADO OLIVAREZ,MAYVI"
"ARRIOJA DIAZ VIRUELL,LUIS ALBERTO"
"SOSENSKI CORREA,SUSANA LUISA"
"SAAVEDRA SOLANO,NAYELHI ITANDEHUI"
"CALDERON CHELIUS,MIGUEL"
"AGAMA ACEVEDO,EDITH"
"MAYEN MONDRAGON,RODRIGO"
"VEGA DIAZ,SOFIA MAGDALENA"
"IBARRA JUNQUERA,VRANI"
"ASTUDILLO SANCHEZ,PABLO DANIEL"
"UGALDE LEZAMA,SAUL"
"MNEDEZ BOLAINA,ENRIQUE"
"NIETO CABALLERO,FABIOLA GABRIELA"
"PEÑA SANCHEZ,EDITH YESENIA"
"DEL TORO SANCHEZ,CARMEN LIZETTE"
"VAZQUEZ JAUREGUI,ERIC"
"TEPALE OCHOA,NANCY"
"SAENGER PEDRERO,CONY BRUNHILDE"
"CHACON TIRADO,MAURICIO ESTEBAN"
"POZOS GUILLEN,AMAURY DE JESUS"
"PEREZ MARTINEZ,DAVID OSWALDO"
"GONZALEZ RONQUILLO,ANA LILIA"
"RANGEL LOZANO,CLAUDIA ESPERANZA GABRIELA"
"RUBIO LOYOLA,JAVIER"
"AGUILAR LASSERRE,ALBERTO ALFONSO"
"RIOS SOLIS,YASMIN AGUEDA"
"ESTEVES JARAMILLO,CLAUDIA ELVIRA"
"HUBARD ESCALERA,ISABEL ALICIA"
"VIGUERAS ZUÑIGA,MARCO OSVALDO"
"ROJAS NANDAYAPA,LEONARDO"
"LAJOUS LOAEZA,MARTIN"
"REGALADO PINEDO,ARISTARCO"
"LOPEZ HONORATO,EDDIE"
"BAUTISTA AVILA,MIRANDELI"
"TORRES FREYERMUTH,ALEC"
"ALBORES BARAJAS,YURI VLADIMIR"
"RUBIO GUTIERREZ,HARMIDA"
"OLVERA MEJIA,TALINA MERIT"
"ALCANTARA ROJAS,BERENICE"
"BOJORQUEZ CHAPELA,IETZA ROCIO"
"CHUQUIURE VALENZUELA,EDUARDO JULIAN JOSE ROBERTO"
"NAVA CASTRO,KAREN ELIZABETH"
"LUGO MEDINA,EDER JESUS VALENTIN"
"ROJAS MAYORQUIN,ARGELIA ESPERANZA"
"PERALTA LEAL,VALERIA"
"KAMENETSKAIA KOTSERUBA,SOFIA"
"LEON DUARTE,JAIME ALFONSO"
"RAGGI PEREZ,MIGUEL"
"CEJA ANDRADE,CLAUDIA"
"FLOTA BAÑUELOS,MANUEL ISRAEL"
"PEDROZA ZUÑIGA,LUIS HORACIO"
"GRANO MALDONADO,MAYRA IXCHEL"
"BECERRIL ESPINOSA,AMAYALY"
"QUIÑONES ESTRELLA,RUSSELL AARON"
"MATA CHAVEZ,RUTH IVONNE"
"MONTERO L. DE GUEVARA,HILDA"
"AVILA RAMOS,FIDEL"
"PALACIOS CUAHTECONTZI,NIKTELOL"
"MONTIEL HERRERA,MARCELINO"
"ALANIS GARCIA,ALMA YOLANDA"
"RODRIGUEZ MENCHACA,ALDO AZMAR"
"PHILLIPS FARFAN,BRYAN VICTOR"
"ORTIZ ARCE,CINDY SHARON"
"BERMUDEZ URBINA,FLOR MARINA"
"CANUL KU,JAIME"
"ESPINO SALDAÑA,ANGELES EDITH"
"RUIZ ZEPEDA,FRANCISCO"
"CEREZO MOTA,RUTH"
"DEL PUERTO FLORES,DUNSTANO"
"RAMOS DE HOYOS,MARIA JOSE"
"RODRIGUEZ TORRES,ADRIANA AZUCENA"
"LEAL ENRIQUEZ,ERIK"
"MARRUFO MELENDEZ,OSCAR RENE"
"TORRES ORTIZ,FLOR LIZETH"
"TOLEDO SOLANO,MILLER"
"PLATAS NERI,DIANA ARMIDA"
"POOT LOPEZ,GASPAR ROMAN"
"SOLIS PEREZ,MARLENE CELIA"
"GARCIA DEISTER,VIVETTE"
"CORTEZ QUEZADA,DIEGO CLAUDIO"
"CAZAREZ CASTRO,NOHE RAMON"
"CILIA LOPEZ,VIRGINIA GABRIELA"
"BERNAL ASTORGA,YAMINEL"
"LLAMOSAS ROSAS,IRVING JOEL"
"MAGALLON SERVIN,PAOLA"
"ALCANTARA QUINTANA,LUZ EUGENIA"
"NARANJO FLORES,GABRIELA BEGONIA"
"LUGO NERIA,BERNABE"
"LOPEZ ZAVALA,ALONSO ALEXIS"
"CZARNY KRISCHKAUTZKY,GABRIELA VICTORIA"
"ABSALON CONSTANTINO,ANGEL EDUARDO"
"MEDINA URRUTIA,AIDA XOCHITL"
"SANTOS GALLY,ROCIO"
"BECERRA ABSALON,ITZEL"
"JIMENEZ HALLA,JOSE OSCAR CARLOS"
"QUIÑONES JURADO,ZOE VINETH"
"HERNANDEZ ZEPEDA,CECILIA"
"ONTIVEROS APODACA,NOE"
"GAONA PINEDA,OSIRIS"
"NUÑEZ JARAMILLO,LUIS"
"BARRERA GARCIA,KIRARESET"
"TECUAPETLA AGUILAR,FATUEL"
"TOSCANO GARIBAY,JULIA DOLORES"
"ZARATE SEGURA,PAOLA BERENICE"
"CAMPOS NONATO,ISMAEL RICARDO"
"CONDE DIAZ,JORGE EVARISTO"
"VILLAFAN VIDALES,HEIDI ISABEL"
"JUNEZ FERREIRA,HUGO ENRIQUE"
"ESCOBAR DEL POZO,CARLOS"
"FLORES FERREYRA,BLANCA IRMA"
"GARCIA ROSALES,GENOVEVA"
"TRUJILLO MORA,VALENTIN"
"SEPULVEDA SANCHEZ HIDALGO,EDGARDO ALFREDO"
"SANCHEZ NUNGARAY,ARMANDO"
"ALVAREZ ZAUCO,EDGAR"
"DAGNINO ACOSTA,ADAN"
"LIMON PACHECO,JORGE HUMBERTO"
"BOBADILLA SOTO,ENCARNACION ERNESTO"
"ANGELOTTI PASTEUR,GABRIEL HECTOR"
"RIVADENEYRA QUIÑONES,ROBERTO ALFONSO"
"PIÑON CASTILLO,HILDA AMELIA"
"RAYAS AMOR,ADOLFO ARMANDO"
"GUTIERREZ CEDILLO,JESUS GASTON"
"SOSA CRESPO,IRVING FRANCISCO"
"ANGEL SAHAGUN,CESAR ANDRES"
"VALLADARES ANGUIANO,REYNA"
"ANTONIO CARMONA,IVETH DALILA"
"RANGEL FLORES,YESICA YOLANDA"
"OCHOA GARCIA,MARIA DEL ROCIO"
"ORTIZ ANDRADE,ROLFFY RUBEN"
"PADILLA SANABRIA,LIZBETH XOCHITL"
"BARRON ARREOLA,KARLA SUSANA"
"ESCOBEDO GUERRA,MARCOS RAMSES"
"ZAMORA SAENZ,ITZKUAUHTLI BENEDICTO"
"TOVAR ARRIAGA,SAUL"
"OLIVE MENDEZ,SION FEDERICO"
"JAIME FERRER,JESUS SALVADOR"
"VALLARINO MONCADA,ADRIANA"
"MORENO VARGAS,LILIANA MARISOL"
"MARTINEZ MENDIVIL,GABRIELA ELIZABETH"
"VALDEZ ACOSTA,FEVRIER ADOLFO"
"GONZALEZ BERRELLEZA,CLAUDIA IBETH"
"LARA CENICEROS,TANIA ERNESTINA"
"CARRERA CHAVEZ,BENJAMIN"
"ROMO PIÑERA,ABRIL KARIM"
"BLANCAS GALICIA,LIZBETH"
"ROMERO ESPINOZA,JOSE ANGEL IVAN"
"FREYRE GONZALEZ,JULIO AUGUSTO"
"RODRIGUEZ DEHAIBES,SOSTENES RAFAEL"
"ISLAS FLORES,TANIA TAYDE"
"JUAREZ ROSETE,CECILIA ROCIO"
"REMES TROCHE,JOSE MARIA"
"LICONA LIMON,PAULA"
"CHAVEZ PIÑA,ARACELY EVANGELINA"
"SOLIS POMAR,FRANCISCO JOSE"
"MORENO PALMERIN,JOEL"
"PEREZ RIVERO CRUZ Y CELIS,JUAN JOSE"
"MIRANDA DE LA LAMA,GENARO CVABODNI"
"RIOS DONATO,NELY"
"ZEPEDA RIVEROS,IDANIA"
"MENDIETA CONDADO,EDGAR RUBEN"
"DEL ANGEL PIÑA,CHRISTIAN HASAEL"
"MUÑOZ LOPEZ,DANIELA BEATRIZ"
"DE LOERA CARRERA,DENISSE ATENEA"
"RAMIREZ GRIMALDO,NELLY CRISTINA"
"ELIZONDO QUIROGA,DARWIN EDUARDO"
"LOPEZ CALVO,HERWING ZETH"
"JIMENEZ ALVAREZ,SOCORRO DEL PILAR"
"AGUILAR GARNICA,EFREN"
"ROSETE LUNA,SHARON"
"VILLAMAR CRUZ,OLGA"
"GASTELUM STROZZI,ALFONSO"
"FILOBELLO NIÑO,URIEL ANTONIO"
"GUADARRAMA MUÑOZ,ALMA COSSETTE"
"JUAREZ GARDUÑO,NICOLAS"
"CUATIANQUIZ LIMA,CECILIA"
"TELLEZ TELLEZ,MAURA"
"MONTUFAR JIMENEZ,EDGAR BENJAMIN"
"MONSIVAIS HUERTERO,ALEJANDRO"
"BRAS RUIZ,ISMENE ITHAI"
"ALCARAZ ESTRADA,SOFIA LIZETH"
"RUBIO CISNEROS,NADIA TAMARA"
"SOSA NUÑEZ,GUSTAVO SADOT"
"GARCIA GUTIERREZ,DOMINGO IXCOATL"
"CHACON AGUIRRE,RODRIGO"
"ALBA BAENA,NOE GAUDENCIO"
"ZULOAGA AGUILAR,MARTHA SUSANA"
"CABANILLAS TERAN,NANCY"
"CASTRO ACOSTA,MONICA LIZZETTE"
"DE LOS COBOS VASCONCELOS,DANIEL"
"BASTIAN DUARTE,ANGELA IXKIC"
"ALVARADO PEREA,LEO"
"CARRASCO GALLEGOS,BRISA VIOLETA"
"CHERNICOFF MINSBERG,MARIANO"
"PIZARRO HERNANDEZ,KARINA"
"MURIEL TORRERO,NELSON OMAR"
"RUEDA PAZ,JUVENAL"
"POOT SALAZAR,ALICIA VIRGINIA"
"PAZ MICHEL,BRENDA ASTRID"
"GONGORA ECHEVERRIA,VIRGILIO RENE"
"BELLO GALLARDO,NOHEMI"
"ORTIZ RODRIGUEZ,MA. TERESA TONANTZIN"
"CASTRO GAINZA,LINDA"
"QUIROZ COMPEAN,GRISELDA"
"SOSA CEBALLOS,GIOVANNI"
"DE JESUS REYES,DAVID"
"BAQUEIRO PEÑA,ITZAMNA"
"AÑORVE SOLANO,CHRISTOPHER"
"SOTELO QUIÑONEZ,TERESA IVETH"
"ARAGON PALACIOS,JUAN MILTON JAIR"
"XOLOCOTZIN ELIGIO,ULISES"
"TLALPACHICATL CRUZ,NICOLAS"
"TIBURCIO SAINZ,MARCELA ALEJANDRA"
"OKON GURVICH,ELIAS"
"ROJAS VELAZQUEZ,ANGEL NATANAEL"
"RANGEL VALDEZ,NELSON"
"MONTELONGO GARCIA,NADIEZHDA"
"BELLO BEDOY,RAFAEL"
"MARQUINA CASTILLO,BRENDA NOEMI"
"ROSAS XELHUANTZI,TESIU"
"DIAZ VILLASEÑOR,ANDREA SACHI"
"MONDRAGON VASQUEZ,KARINA"
"SANCHEZ GASPARIANO,LUIS ABRAHAM"
"SANTIAGO DE LA CRUZ,ARLETTE ARIZBE"
"ESQUER MIRANDA,EDGARD"
"ROMERO IBARRA,ISSIS CLAUDETTE"
"LUJAN MONTELONGO,JESUS ARMANDO"
"ESTRADA RUIZ,MARCOS JACOBO"
"MARINO MARMOLEJO,ERIKA NAHOMY"
"LUGO MELCHOR,OFELIA YADIRA"
"MALDONADO AHUMADA,CESAR OCTAVIO"
"GARCIA ESQUIVEL,MONICA"
"OROZCO AGUIRRE,HECTOR RAFAEL"
"CETINA HEREDIA,PAULINA"
"ESPINOSA GONZALEZ,ADRIANA MONTSERRAT"
"MUÑOZ BRAVO,TOMAS MILTON"
"FRANCO PEREZ,JAVIER EDGAR"
"OBREGON QUINTANA,BIBIANA"
"VILLARREAL CERVANTES,MIGUEL GABRIEL"
"LOPEZ CAMARA RAMIREZ,DIEGO"
"POMPA MERA,ERICKA NELLY"
"DIAZ ZAVALA,ROLANDO GIOVANNI"
"AGIS JUAREZ,RAUL AZAEL"
"MEJIA CABALLERO,IVVONE"
"MENDOZA NOVELO,BIRZABITH"
"GOMEZ CASTRO,CARLOS ZEPACTONAL"
"ESCOBAR MEDINA,JESICA AZUCENA"
"MENA DURAN,CINTHIA JANET"
"VANOYE CARLO,AMERICA"
"CHIRINO LOPEZ,YOLANDA IRASEMA"
"RECHY RAMIREZ,ERICKA JANET"
"LUGO MENDEZ,HELEN DENISE"
"MAGAÑA AGUIRRE,JONATHAN JAVIER"
"ORTIZ LEROUX,SERGIO MAURICIO"
"CARDOZO BRUM,MYRIAM IRMA"
"SINGER SOCHET,MARTHA"
"PANTI TREJO,HENRY GASPAR"
"VARELA GASQUE,ANA SOFIA"
"BURGOS GUTIERREZ,ASDRUBAL JESUS"
"ARRIAGA HURTADO,ITZEL"
"SAÑUDO BARAJAS,JOSEFA ADRIANA"
"BUELNA ACEDO,GERARDO RAMON"
"MANZANILLA LOPEZ,ROSA HELENA"
"RIVERA CISNEROS,ANTONIO EUGENIO"
"CARRASCO AQUINO,ROQUE JUAN"
"BONFIL SANDERS,RAMON"
"QUINTANAR ISAIAS,IGNACIO ARTURO"
"OJEDA BARRIOS,DAMARIS LEOPOLDINA"
"BELLON CORRALES,MAURICIO RAFAEL"
"ESQUIVEL GUADARRAMA,FERNANDO ROGER"
"PINEDA LOPEZ,RUBEN"
"BENEDICTO VALDES,GERARDO SERGIO"
"MAISTERRENA ZUBIRAN,JOSE JAVIER"
"CORRAL ESCOBEDO,LUIS JOSE HERMINIO"
"OJEDA REVAH,LINA"
"KAUFER HORWITZ,MARTHA"
"AYALA PEREZ,LUIS AMADO"
"LOREDO OSTI,CATARINA"
"CONANT PABLOS,SANTIAGO ENRIQUE"
"SOLANO CAMACHO,ELOY"
"ROSALES ALMENDRA,MANUEL PIO"
"VALENCIA HERRERA,HUMBERTO"
"CARRILLO JIMENEZ,GENNY TRINIDAD"
"SALGADO GALARZA,AGUSTIN CARLOS"
"SALGADO SICLAN,MARTHA LIDYA"
"VERA ALFARO,PABLO"
"MEJIA MADRID,HUGO HARLAN"
"ESTRADA AVALOS,JUAN"
"CUPUL MAGAÑA,FABIO GERMAN"
"MORFIN GARDUÑO,ONOFRE AMADOR"
"SALGADO UGARTE,ISAIAS HAZARMABETH"
"USCANGA MORTERA,EBANDRO"
"CEJUDO COLLERA,MONICA"
"PLATA PEREZ,FERNANDO XICOTENCATL"
"PARRAGUIRRE LEZAMA,JOSE FILOMENO CONRADO"
"MENA REJON,GONZALO JOAQUIN"
"NETZAHUALCOYOTZI LUNA,RAUL"
"FURLONG Y ZACAULA,AURORA"
"REYES TOXQUI,ALVARO"
"HURTADO DIAZ,MAGALI"
"DE LOS COBOS SILVA,SERGIO GERARDO"
"CRUZ CANSINO,NELLY DEL SOCORRO"
"MEDELLIN BANDA,DIANA IRIS"
"PORTILLO LOERA,JESUS JOSE"
"LUNA REYES,DOLORES EDWIGES"
"RUELAS CHACON,XOCHITL"
"TERASHIMA MARIN,HUGO"
"GATICA COLIMA,ANA BERTHA"
"ANAYA LOYOLA,MIRIAM ARACELY"
"ESTRADA MONJE,ANAYANSI"
"LOZOYA GAMEZ,RAFAEL CAMILO"
"REYES BALLESTEROS,ALBERTO"
"FRANCO MOLINA,MOISES ARMIDES"
"PURATA SIFUENTES,OMAR JAIR"
"MEZA ESCALANTE,EDNA ROSALBA"
"LOPEZ GARRIDO,SERAFIN JACOBO"
"OLIVAS ARMENDARIZ,IMELDA"
"MACEDO BARRAGAN,RAFAEL JULIO"
"OLVERES MONTIEL,JIMENA"
"MOSCOSA SANTILLAN,MARIO"
"ALFONSECA SILVA,EDGAR"
"CUEVAS JIMENEZ,ERIK VALDEMAR"
"QUEZADA TRISTAN,TEODULO"
"ESTRADA GIRON,YOKIUSHIRDHILGILMARA"
"SOARES DE MORAES,DENISE FREITAS"
"OCHOA LANDIN,RAMON"
"SEGAL KISCHINEVZKY,CLAUDIA ANDREA"
"VILLASEÑOR CABRERA,TERESITA DE JESUS"
"PRECIADO LLOYD,PATRICIA NATIVIDAD"
"VARGAS CHANES,DELFINO"
"COUTURIER BAÑUELOS,DELIA PATRICIA"
"LUYANDO CUEVAS,JOSE RAUL"
"DIAZ GODOY,RAUL VENANCIO"
"CRUZ VALLEJO,VIRGINIA LETICIA"
"TLAPAL BOLAÑOS,BERTHA"
"DE LARRAÑAGA MONJARAZ,PABLO"
"MAGAÑA MANCILLAS,MARIO ALBERTO GERARDO"
"ALVARADO NAVARRO,ANABELL"
"RIVERA DE LA ROSA,ALBA ROSA"
"ESCALONA MAURICE,MIGUEL JORGE"
"GOMEZ CAMPOS,RUBI DE MARIA"
"ISLAS SUAREZ,LEON DAVID"
"HUERTA CUERVO,ROCIO"
"NORIEGA CANTU,DAVID HERIBERTO"
"ESTURAU ESCOFET,NURIA"
"VIDAL CANTU,GUADALUPE CONCEPCION"
"BARRAZA GUARDADO,RAMON HECTOR"
"BAEZ SALDAÑA,ALEJANDRA RENATA"
"GARCIA HERRERA,EDUVIGES JAVIER"
"GUTIERREZ MARTINEZ,PORFIRIO"
"NAVARRO OLACHE,LUIS FELIPE"
"TURNBULL PLAZA,BERNARDO EMILIO"
"VEGA PEÑA,ERNESTO VICENTE"
"LOZA CORNEJO,SOFIA"
"RETA MENDIOLA,JUAN LORENZO"
"GARDUÑO MEJIA,JESUS"
"MARAÑON RUIZ,VIRGINIA FRANCISCA"
"MEZA GORDILLO,ROCIO"
"LIMON PEREZ DE LEON,ILHUICAMINA DANIEL"
"GARCIA REJON,JULIAN EVERARDO"
"TAPIA VIEYRA,JUANA VIRGINIA"
"MONTEMAYOR BOSQUE,JESUS HUMBERTO"
