Nombre Inventor
"Angel Avalos Barcenas,Jose"
"Vilchis Dominguez,Jose Angel"
"Cherem Haber,Jose"
"Fernandez,Jose"
"Mendoza De La Cruz,Jose Luis"
"Macias Galarza,Jose"
"Oliva,Jose"
"Osawa Diaz,Jose"
"Puente,Jose"
"Rodriguez,Jose"
"C Lozano,Juan"
"Celada Gonzalez,Juan"
"Avalos Vega,Juan Manuel"
"Amador Burgoa,Julio Cesar"
"Flores Avina,Kristian Ulyses"
"M Garza,Luis A A"
"Hernandez Ortega,Luis Antonio"
"E Bartol,Luis"
"Talavera Abdala,Luis Fernando"
